Başlangıç;;Adım 1;Adım 2;;;;;;;;;;;;;
Vardiyamı göremiyorum.;;Onaylanmamış vardiyalar çalışanlar tarafından görüntülenememektedir. Çalışanların üzerine atanan vardiyaları görüntüleyebilmesi için planlanan vardiyaların onaylanması gerekmektedir.;Yaşamış olduğunuz sorunu, size yardımcı olabilmesi adına ilgili ekibe iletiyorum.;;;;;;;;;;;;;
Personellerimin bir kısmını ya da hiçbirini göremiyorum.;;Vardiya modülünde yalnızca kendinize bağlı olan çalışanları ve yetkili olduğunuz şubelerdeki çalışanları görüntüleyebilirsiniz. Bu konu ile ilgili lütfen yetkili biriminiz ile iletişime geçiniz.;;;;;;;;;;;;;;
Vardiya oluşturamıyorum ya da onaylayamıyorum.;;Vardiya onaylama ve oluşturma işlemleri yalnızca yetkili kullanıcılar tarafından yapılabilmektedir. Bu konu ile ilgili lütfen yetkili biriminiz ile iletişime geçiniz.;;;;;;;;;;;;;;
Aradığım vardiyayı bulamıyorum.;;Vardiya tanımlamaları yetkili biriminiz tarafından yapılmaktadır. Lütfen bu konu ile ilgili yetkili biriminize başvurunuz.;;;;;;;;;;;;;;
Check-in yapabileceğim bir yer göremiyorum.;;Bulunduğunuz bölgede check-in yapabileceğiniz bir konum bulunmamasından veya konumunuzun stabil olmamasından kaynaklanabilir. Lütfen internet bağlantınızı değiştirmeyi veya kapatıp açmayı, telefonunuzu uçak moduna alıp tekrar normal moda almayı, Wifi özelliğini açmayı (herhangi bir wifi ağına bağlanmanız gerekmemektedir.) deneyin.;İlgili yönergeleri uygulamanıza rağmen hala uyarıyı almaya devam ediyorsanız lütfen insan kaynaklarınız ile iletişime geçiniz.;;;;;;;;;;;;;
Paylaşımımı göremiyorum.;;Paylaşımlar ilgili onay sürecinden geçtikten sonra görüntülenmektedir. Lütfen paylaşımınızın onaylanmasını bekleyiniz.;;;;;;;;;;;;;;
Paylaşım yapamıyorum.;;Paylaşımlar yalnızca yetkili kullanıcılar tarafından yapılabilmektedirr. Konuyla ilgili yetkili biriminiz ile iletişime geçebilirsiniz.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Başlıklar (B);;;;;;;;;;;;;;;;
PG Sosyal;;;;;;;;;;;;;;;;
PG Sosyal modülü sayesinde şirketiniz için oluşturulan, metin, fotoğraf ve video paylaşımı yapmanızı sağlayan kapalı devre bir sosyal medya platformudur. PG Sosyal ile başarılarınızı şirketinizin yönetimdeki en üst seviyesinden en alt seviyesine tüm ekip arkadaşlarınızla paylaşın.;;;;;;;;;;;;;;;;
Etik Hat;;;;;;;;;;;;;;;;
Etik hat modülü sayesinde şirket içinde yaşadığınız veya şahit olduğunuz olumsuz olayları anonim olarak ilgili birimlere iletin.;;;;;;;;;;;;;;;;
Geri Bildirim;;;;;;;;;;;;;;;;
Geri bildirim modülü sayesinde iş süreçleri veya kişiler hakkında geri bildirimlerde bulunun. Bildirimlerinizi bildirimlerim sekmesi üzerinden takip ederek süreç hakkında bilgi sahibi olun.;;;;;;;;;;;;;;;;
Kariyer Fırsatı;;;;;;;;;;;;;;;;
Şirket içindeki yeni kariyer fırsatlarını bu modül üzerinden görüntüleyin. Yeni pozisyonları keşfedin veya arkadaşlarınıza önerin.;;;;;;;;;;;;;;;;
Performans Takibi;;;;;;;;;;;;;;;;
Performans takibi modülü sayesinde mobil uygulama ile görev atama, izleme ve tamamlama süreçlerini gerçek zamanlı takip ederek iş akışlarınızı kontrol edin.;;;;;;;;;;;;;;;;
Terminal;;;;;;;;;;;;;;;;
Terminal modülü sayesinde NFC kart ile telefonunuz olmadan giriş çıkış işlemlerini gerçekleştirin.;;;;;;;;;;;;;;;;
Onaylarım;;;;;;;;;;;;;;;;
Onaylarım modülü sayesinde tarafınıza atanmış bekleyen talepleri takip ederek onay ve red işlemlerini kolaylıkla yönetin.;;;;;;;;;;;;;;;;
Buradayım;;;;;;;;;;;;;;;;
Buradayım modülü sayesinde QR kod olmaksızın uygulama üzerinden belirtilen konumlarda giriş-çıkış işemlerinizi gerçekleştirin.;;;;;;;;;;;;;;;;
Taleplerim;;;;;;;;;;;;;;;;
Taleplerim modülü sayesinde izin, rotasyon gibi taleplerinizi kolayca gerçekleştirin ve takip edin.;;;;;;;;;;;;;;;;
PDKS;;;;;;;;;;;;;;;;
PDKS modülü sayesinde personel devamlılığını takip ederek giriş-çıkış hareketlerinizi mobil uygulama aracılığıyla anlık görüntüleyin. Aynı panel içerisinde son hareketlerini, izin vb. detaylı bilgileri görüntüleyin ve düzenlemeler yapın.;;;;;;;;;;;;;;;;
Anket;;;;;;;;;;;;;;;;
Anket modülü sayesinde size atanmış anketlere erişin, ilgili konulardaki görüş ve düşüncelerinizi belirtin.;;;;;;;;;;;;;;;;
Vardiya;;;;;;;;;;;;;;;;
Vardiya modülü sayesinde size atanmış vardiya bilgilerini anlık olarak görüntüleyin. Olası değişikliklerde, vardiyaya geç kalma veya vardiyadan geç çıkma durumunda anlık olarak bildirim alın.;;;;;;;;;;;;;;;;
Yetkili kullanıcı iseniz vardiyaları mobil panel üzerinden anlık olarak düzenleyin.;;;;;;;;;;;;;;;;
